id,title,genre,year
1,기생충,Action,1991
2,명량,Horror,2005
3,극한직업,Thriller,1998
4,신과함께-죄와 벌,Action,2024
5,국제시장,Action,2017
6,부산행,Drama,1991
7,변호인,Action,2003
8,택시운전사,Thriller,2022
9,괴물,Crime,1991
10,왕의 남자,Romance,2002
11,도둑들,Romance,2016
12,7번방의 선물,Thriller,2018
13,암살,Crime,2007
14,"광해 왕이 된 남자",Drama,2000
15,범죄도시2,Fantasy,2011
16,신과함께-인과 연,Horror,1999
17,해운대,Thriller,2011
18,변호인,Action,1995
19,국가대표,Fantasy,1996
20,디워,Sci-Fi,2012
21,기생충,Crime,2006
22,엑시트,Drama,2019
23,설국열차,Romance,1997
24,관상,Fantasy,1995
25,쉬리,Romance,2008
26,내부자들,Crime,2013
27,백두산,Crime,2002
28,범죄도시3,Action,1992
29,써니,Thriller,2008
30,화려한 휴가,Action,2004
31,한산: 용의 출현,Action,2014
32,공조,Horror,2019
33,더 테러 라이브,Sci-Fi,2000
34,웰컴 투 동막골,Sci-Fi,2012
35,의형제,Thriller,2007
36,전우치,Action,2000
37,베테랑,Romance,2005
38,곡성,Comedy,2019
39,검사외전,Fantasy,2007
40,독전,Romance,2004
41,공동경비구역 JSA,Sci-Fi,1993
42,추격자,Thriller,1992
43,아저씨,Sci-Fi,2015
44,늑대소년,Horror,1994
45,건축학개론,Thriller,2010
46,친절한 금자씨,Thriller,2021
47,올드보이,Fantasy,2019
48,악마를 보았다,Comedy,2006
49,태극기 휘날리며,Comedy,2005
50,실미도,Romance,2024
51,타짜,Horror,2017
52,살인의 추억,Crime,2015
53,범죄와의 전쟁,Sci-Fi,2004
54,신세계,Comedy,2022
55,부당거래,Mystery,1995
56,아가씨,Drama,1997
57,박쥐,Comedy,2000
58,밀양,Fantasy,1994
59,시,Fantasy,2014
60,오아시스,Crime,2019
61,"장화 홍련",Romance,2006
62,부산행,Romance,1990
63,반도,Action,2024
64,서울의 봄,Horror,2011
65,파묘,Action,2008
66,노량: 죽음의 바다,Fantasy,2000
67,콘크리트 유토피아,Mystery,1990
68,밀수,Horror,2022
69,영웅,Comedy,2022
70,헌트,Action,2009
71,비상선언,Romance,2002
72,마녀,Comedy,2013
73,범죄도시,Comedy,2024
74,청년경찰,Romance,1990
75,끝까지 간다,Crime,2010
76,히말라야,Mystery,1991
77,해적: 바다로 간 산적,Action,2013
78,수상한 그녀,Horror,2005
79,과속스캔들,Drama,2005
80,국가부도의 날,Crime,1995
81,암수살인,Action,2021
82,완득이,Action,2024
83,소원,Comedy,1998
84,도가니,Mystery,2000
85,부러진 화살,Horror,2023
86,변호인,Crime,2017
87,남산의 부장들,Thriller,2024
88,1987,Thriller,2009
89,공작,Fantasy,2013
90,택시운전사,Mystery,2023
91,스윙키즈,Mystery,1997
92,안시성,Thriller,2004
93,명당,Action,2011
94,협상,Drama,2004
95,물괴,Crime,2004
96,상류사회,Drama,1994
97,너의 결혼식,Drama,2004
98,목격자,Action,1992
99,공작,Sci-Fi,1994
100,신과함께,Romance,2005
101,너의 이름은,Animation,2016
